class_name,Baseline CNN,MobileNetV2,ResNet18 Corrected
Agaricus,0.7808669508045066,0.7874582879043183,0.856890342617372
Amanita,0.7855773877972768,0.8645234404946419,0.907712947685949
Boletus,0.8680944023984497,0.917699535665972,0.9481371796278015
Cortinarius,0.7344333983990798,0.799499145066352,0.84145142009775
Entoloma,0.6655495978552278,0.7655751308566322,0.8371313672922251
Exidia,0.9461567888078257,0.9662950515069542,0.9737273547012051
Hygrocybe,0.7637348417627919,0.9378697131026323,0.9409568175096126
Inocybe,0.785255968665735,0.8461137244867833,0.8720353494597202
Lactarius,0.7635626980534178,0.7439701222272521,0.8412358533272973
Russula,0.7753568008491687,0.8410520000461504,0.8463650733215649
Suillus,0.7101264418811003,0.7338065661047026,0.796787193138125
