model,micro_average_auc,macro_average_auc,strongest_class,strongest_class_auc,weakest_class,weakest_class_auc
Baseline CNN,0.8138292802172928,0.779905512446804,Exidia,0.9461567888078257,Entoloma,0.6655495978552278
ResNet18 Corrected,0.8918846899049343,0.8783861123975889,Exidia,0.9737273547012051,Suillus,0.796787193138125
MobileNetV2,0.8568656948845631,0.8367246339288813,Exidia,0.9662950515069542,Suillus,0.7338065661047026
