model,test_images,correct_predictions,incorrect_predictions,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,average_inference_time_ms,median_inference_time_ms
Resnet18_Corrected,1175,604,571,0.5140425531914894,0.5231041091140765,0.44577054602754784,0.46389838549919865,0.5348649622356111,0.5140425531914894,0.5047456348574528,3.3566511491253643,2.7429000037955
MobileNetV2,1175,545,630,0.46382978723404256,0.44140064067860685,0.41086145835288607,0.3900619434625801,0.4548650091581562,0.46382978723404256,0.4331670130340231,8.192308680829296,7.7071999985490995
Baseline CNN,1175,464,711,0.3948936170212766,0.3750774766328659,0.34506571961489013,0.35257663373127895,0.3968205106199883,0.3948936170212766,0.3885408197269168,3.269151233983712,2.8149999998277
