class_name,Baseline CNN,MobileNetV2,Resnet18_Corrected
Agaricus,0.24761904761904763,0.136986301369863,0.2631578947368421
Amanita,0.3402061855670103,0.47540983606557374,0.5462555066079295
Boletus,0.527363184079602,0.6430260047281324,0.7302631578947368
Cortinarius,0.33220338983050846,0.375,0.35555555555555557
Entoloma,0.19148936170212766,0.0967741935483871,0.25263157894736843
Exidia,0.6065573770491803,0.6323529411764706,0.6306306306306306
Hygrocybe,0.35443037974683544,0.5504587155963303,0.6024096385542169
Inocybe,0.3670886075949367,0.34394904458598724,0.43781094527363185
Lactarius,0.4536082474226804,0.3887468030690537,0.5399239543726235
Russula,0.37267080745341613,0.544529262086514,0.524731182795699
Suillus,0.0851063829787234,0.10344827586206896,0.21951219512195122
