model,class_name,precision,recall,f1_score,support
Baseline CNN,Agaricus,0.2549019607843137,0.24074074074074073,0.24761904761904763,54
Baseline CNN,Amanita,0.4074074074074074,0.2920353982300885,0.3402061855670103,113
Baseline CNN,Boletus,0.44166666666666665,0.654320987654321,0.527363184079602,162
Baseline CNN,Cortinarius,0.28994082840236685,0.3888888888888889,0.33220338983050846,126
Baseline CNN,Entoloma,0.23684210526315788,0.16071428571428573,0.19148936170212766,56
Baseline CNN,Exidia,0.6607142857142857,0.5606060606060606,0.6065573770491803,66
Baseline CNN,Hygrocybe,0.45161290322580644,0.2916666666666667,0.35443037974683544,48
Baseline CNN,Inocybe,0.453125,0.30851063829787234,0.3670886075949367,94
Baseline CNN,Lactarius,0.44,0.46808510638297873,0.4536082474226804,235
Baseline CNN,Russula,0.40268456375838924,0.3468208092485549,0.37267080745341613,173
Baseline CNN,Suillus,0.08695652173913043,0.08333333333333333,0.0851063829787234,48
MobileNetV2,Agaricus,0.2631578947368421,0.09259259259259259,0.136986301369863,54
MobileNetV2,Amanita,0.44274809160305345,0.5132743362831859,0.47540983606557374,113
MobileNetV2,Boletus,0.5210727969348659,0.8395061728395061,0.6430260047281324,162
MobileNetV2,Cortinarius,0.3202247191011236,0.4523809523809524,0.375,126
MobileNetV2,Entoloma,0.5,0.05357142857142857,0.0967741935483871,56
MobileNetV2,Exidia,0.6142857142857143,0.6515151515151515,0.6323529411764706,66
MobileNetV2,Hygrocybe,0.4918032786885246,0.625,0.5504587155963303,48
MobileNetV2,Inocybe,0.42857142857142855,0.2872340425531915,0.34394904458598724,94
MobileNetV2,Lactarius,0.48717948717948717,0.32340425531914896,0.3887468030690537,235
MobileNetV2,Russula,0.4863636363636364,0.6184971098265896,0.544529262086514,173
MobileNetV2,Suillus,0.3,0.0625,0.10344827586206896,48
Resnet18_Corrected,Agaricus,0.45454545454545453,0.18518518518518517,0.2631578947368421,54
Resnet18_Corrected,Amanita,0.543859649122807,0.5486725663716814,0.5462555066079295,113
Resnet18_Corrected,Boletus,0.7816901408450704,0.6851851851851852,0.7302631578947368,162
Resnet18_Corrected,Cortinarius,0.5925925925925926,0.25396825396825395,0.35555555555555557,126
Resnet18_Corrected,Entoloma,0.3076923076923077,0.21428571428571427,0.25263157894736843,56
Resnet18_Corrected,Exidia,0.7777777777777778,0.5303030303030303,0.6306306306306306,66
Resnet18_Corrected,Hygrocybe,0.7142857142857143,0.5208333333333334,0.6024096385542169,48
Resnet18_Corrected,Inocybe,0.411214953271028,0.46808510638297873,0.43781094527363185,94
Resnet18_Corrected,Lactarius,0.4879725085910653,0.6042553191489362,0.5399239543726235,235
Resnet18_Corrected,Russula,0.4178082191780822,0.7052023121387283,0.524731182795699,173
Resnet18_Corrected,Suillus,0.2647058823529412,0.1875,0.21951219512195122,48
