model,prediction_result,image_count,average_confidence,median_confidence,minimum_confidence,maximum_confidence
Baseline CNN,Correct,464,0.8584293139905765,0.9559516310691833,0.2599144577980041,1.0
Baseline CNN,Incorrect,711,0.7269986283594714,0.7506943941116333,0.2246062159538269,1.0
Resnet18_Corrected,Correct,604,0.6893893097656847,0.696449488401413,0.2117466926574707,0.9998745918273926
Resnet18_Corrected,Incorrect,571,0.4951886218139044,0.4637017250061035,0.1593874841928482,0.9813432097434998
MobileNetV2,Correct,545,0.7207819328669014,0.7619434595108032,0.1910455822944641,0.999915599822998
MobileNetV2,Incorrect,630,0.527523342721046,0.4805042892694473,0.1667509227991104,0.9988349080085754
